DEBUG    - 2024-02-27 20:57:22,340. В функции wrapper() (2, 5) {} 0.4
DEBUG    - 2024-02-27 20:58:47,356. В функции wrapper() (2, 5) {} 0.4
DEBUG    - 2024-02-27 21:00:40,572. В функции wrapper() (2, 5) {} 0.4
DEBUG    - 2024-02-27 21:01:32,113. В функции wrapper() (2, 5) {} 0.4
DEBUG    - 2024-02-27 21:02:43,814. В функции wrapper() (2, 5) {} 0.4
DEBUG    - 2024-02-27 21:02:56,492. В функции wrapper() (2, 5) {} 0.4
DEBUG    - 2024-02-27 21:03:10,263. В функции wrapper() (2, 5) {} 0.4
DEBUG    - 2024-02-27 21:03:59,767. В функции division (2, 5) {} 0.4
DEBUG    - 2024-02-27 21:05:03,177. В функции (2, 5) {} 0.4
DEBUG    - 2024-02-27 21:05:22,296. В функции wrapper (2, 5) {} 0.4
DEBUG    - 2024-02-27 21:05:52,127. В функции wrapper (2, 5) {} 0.4
DEBUG    - 2024-02-27 21:44:06,246. В функции wrapper (2, 5) {} 0.4
DEBUG    - 2024-02-27 21:44:17,779. В функции wrapper division (2, 5) {} 0.4
